L 01/24/2023 - 14:38:27: SourceMod log file session started (file "/root/Steam/steamapps/common/Left 4 Dead 2 Dedicated Server/left4dead2/addons/sourcemod/logs/L20230124.log") (Version "1.11.0.6825")
L 01/24/2023 - 14:38:27: [l4d2_playtime_interface.smx] Failed to retrieve response (GetOwnedGames) - HTTPStatus: 0
L 01/24/2023 - 14:38:37: [l4d2_playtime_interface.smx] Failed to retrieve response (GetUserStatsForGame) - HTTPStatus: 0
L 01/24/2023 - 14:38:38: [cannounce.smx] Player emileseb5 <STEAM_1:0:632143659> connected from country China (CN), IP 220.177.69.150
L 01/24/2023 - 14:39:06: [confoglcompmod.smx] [PasswordSystem] Set password on emileseb5, password 
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "confogl_match_execcfg_plugins") (value "generalfixes.cfg;confogl_plugins.cfg;sharedplugins.cfg")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_addons_eclipse") (value "0")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allow_wait_command") (value "0")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "100000")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "100000")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "100")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "100")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "100")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "100")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_min_interp_ratio") (value "-1")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_max_interp_ratio") (value "0")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_update_frequency") (value "0.014")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "50000")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tick_door_speed") (value "1.3")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mv_maxplayers") (value "12")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mp_autoteambalance") (value "0")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_unlag_fixstuck") (value "1")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_brawl_chance") (value "0")
L 01/24/2023 - 14:39:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxunlag") (value "1")
