--=================================================================--
[10/09/2022 10:02:18] --- NEW MAP STARTED: c2m1_highway ---
--=================================================================--
[20:08:12] [CN] ++                                  has joined (STEAM_1:1:644028969 | 111.208.124.230)
--=================================================================--
[10/09/2022 20:09:53] --- NEW MAP STARTED: c2m1_highway ---
--=================================================================--
[23:17:23] [CN] 我哭死在apex                    has joined (STEAM_1:0:246466989 | 61.179.137.92)
[23:17:39] [CN] [Survivor   ] 我哭死在apex                    : !match
[23:17:46] [CN] JSMT                                has joined (STEAM_1:0:182922075 | 223.74.56.233)
[23:17:59] [CN] [Survivor   ] JSMT                                : 这是你自己的服吗
[23:18:04] [CN] [Survivor   ] 我哭死在apex                    : 是
[23:18:09] [CN] [Survivor   ] 我哭死在apex                    : 你怎么进来了
[23:18:14] [CN] [Survivor   ] JSMT                                : 打完了
[23:18:17] [CN] [Survivor   ] 我哭死在apex                    : 我服出了点问题
[23:18:25] [CN] [Survivor   ] 我哭死在apex                    : 只剩zonemod了
[23:18:37] [CN] [Survivor   ] 我哭死在apex                    : 试试11不？
[23:18:41] [CN] [Survivor   ] JSMT                                : 行
[23:18:48] [CN] [Survivor   ] 我哭死在apex                    : !match
